phi,psi,omega,e2e,rgyr
-176.15150451660156,165.4039306640625,174.84384155273438,5.965829372406006,2.9350298118879152
-85.9504165649414,139.25889587402344,-176.3374481201172,5.556413650512695,2.887711840188314
-81.8592300415039,100.57352447509766,-178.44102478027344,5.105286121368408,2.8629446474059606
-106.33372497558594,59.093544006347656,-160.3730010986328,4.357199192047119,2.733926251732336
-74.56950378417969,50.49919891357422,-171.50357055664062,4.816192150115967,2.842921362086009
-89.07015991210938,109.84642028808594,-174.42477416992188,4.763033390045166,2.774744110431371
-105.26338958740234,141.9214324951172,169.46029663085938,5.794944763183594,2.982379258733597
-112.07024383544922,178.62472534179688,165.96705627441406,5.62436056137085,2.9135426358122896
-168.11752319335938,170.53285217285156,169.9139404296875,6.190438270568848,2.9836366766904683
-127.7798843383789,177.63906860351562,167.27685546875,5.820498466491699,2.9425870134342245
-112.50808715820312,153.5763397216797,178.62289428710938,5.784599304199219,2.925269277370216
-129.04238891601562,120.60466003417969,171.52911376953125,5.277100563049316,2.860235002469848
-89.0841293334961,127.14871978759766,-175.89161682128906,5.3853020668029785,2.891735236727662
-85.66716766357422,112.99263000488281,161.0080108642578,5.256312370300293,2.880590860464021
-82.64960479736328,91.1055908203125,175.96047973632812,4.439671039581299,2.7984635088301415
-85.70620727539062,47.68033981323242,155.50494384765625,4.694522380828857,2.791520106670943
-73.45990753173828,64.67076873779297,-175.90257263183594,4.0528459548950195,2.707264395377892
-87.8101806640625,102.85459899902344,158.6230926513672,5.293083667755127,2.893090668500825
-77.756591796875,124.83455657958984,-177.13150024414062,5.058936595916748,2.855077053682836
-111.02693176269531,114.9643325805664,177.37168884277344,5.520145416259766,2.9450534534622625
-111.59630584716797,152.9034423828125,175.6844024658203,5.575702667236328,2.91532654463626
-141.55514526367188,-178.04966735839844,177.118896484375,5.965797424316406,2.935478887553446
-176.2889862060547,-177.9258575439453,168.86805725097656,6.074663162231445,2.9378277062733202
-106.96719360351562,-177.3043212890625,177.88523864746094,5.690677165985107,2.8733043872335675
-93.99897003173828,140.7406005859375,169.50184631347656,5.639649868011475,2.8991617551843705
-76.74432373046875,73.96623992919922,-176.43069458007812,4.408168315887451,2.768216291122705
-80.90113830566406,26.351036071777344,163.39979553222656,4.631392955780029,2.8247776425808913
-74.0551986694336,73.02728271484375,176.59335327148438,4.354935169219971,2.7674030060839327
-91.78189086914062,130.8270263671875,165.15628051757812,5.3915276527404785,2.8681611153092157
-92.47248840332031,160.16567993164062,176.466064453125,5.435203552246094,2.8252905182979133
-138.49171447753906,158.8343505859375,177.5288848876953,6.086827278137207,3.035452506345549
-161.03775024414062,-170.03570556640625,179.27383422851562,5.839003086090088,2.944906140018286
-141.19932556152344,-146.02012634277344,175.73789978027344,6.006341934204102,2.9731393006239073
-165.2791748046875,174.94190979003906,173.6090087890625,6.053665637969971,2.9463761181987085
-113.66205596923828,155.903076171875,-178.6988983154297,5.641449928283691,2.8922440327326266
-70.67314910888672,120.37136840820312,173.3896942138672,5.359557151794434,2.9078262246039865
-85.43315887451172,62.715911865234375,-175.98434448242188,4.31789493560791,2.748401271710039
-85.26750946044922,37.935672760009766,176.07322692871094,4.590639591217041,2.8198135999099057
-83.33332824707031,83.5817642211914,-179.86373901367188,4.598128318786621,2.7858530671174724
-108.53667449951172,121.22953796386719,177.8086395263672,5.316583633422852,2.8779120492516763
-95.90180969238281,154.74685668945312,-173.8108367919922,5.601831912994385,2.8953321816225026
-112.95413208007812,162.71775817871094,-172.17706298828125,5.942932605743408,2.9794626963944895
-167.5715789794922,152.02645874023438,-170.24728393554688,5.953708171844482,2.946855827378764
-150.34854125976562,-172.3097686767578,-162.80259704589844,6.037865161895752,2.979455596370877
-162.73573303222656,-175.0447998046875,-162.72747802734375,6.022403717041016,2.9555874567634457
-145.26812744140625,168.70993041992188,-159.3778839111328,5.9364447593688965,2.9361146356948944
-133.33631896972656,152.78384399414062,-160.61077880859375,5.879998207092285,2.926714163530606
-139.2659454345703,156.14768981933594,-161.37368774414062,5.836572647094727,2.9139508703180175
-143.92759704589844,167.89114379882812,-163.53750610351562,5.957603931427002,2.948404345523775
-174.5076904296875,179.37498474121094,-171.0523223876953,6.032872200012207,2.966794244960382
-154.54559326171875,-179.60215759277344,-166.3057098388672,6.037254810333252,2.964307872992017
-165.75341796875,153.29075622558594,-172.4626922607422,5.929687976837158,2.926541279371142
-128.96263122558594,156.7729949951172,-164.56385803222656,5.793409824371338,2.9273462472618967
-113.77079010009766,154.90184020996094,-171.3544921875,5.749128341674805,2.8924097348513986
-123.827880859375,137.30404663085938,-166.56414794921875,5.709646224975586,2.8950855527944137
-136.8110809326172,133.1683807373047,-159.75550842285156,5.709004878997803,2.9320343346518665
-141.85191345214844,166.7404327392578,-170.9538116455078,5.929382801055908,2.908812585434506
-170.90882873535156,-176.18310546875,-165.3846893310547,5.991159439086914,2.927910327453527
-159.40402221679688,-173.93472290039062,-169.22744750976562,6.078158855438232,2.936346362487506
-157.08480834960938,160.4534912109375,-154.69192504882812,5.954447269439697,2.9041802726371495
-143.3021240234375,139.9962921142578,-164.31739807128906,5.951167106628418,2.970330886087051
-117.42334747314453,173.90867614746094,-166.77212524414062,5.826616287231445,2.9101264584350637
-128.28819274902344,169.56422424316406,-167.00778198242188,5.951447010040283,2.9576443086725064
-163.83409118652344,144.6924591064453,-173.6611785888672,5.829331398010254,2.91556884449874
-137.19876098632812,-179.01907348632812,-163.21641540527344,5.947216987609863,2.9222722207738387
-152.01089477539062,179.3256378173828,-168.85508728027344,5.961544513702393,2.9471822580119973
-159.15139770507812,158.73289489746094,-167.32437133789062,5.950593948364258,2.9049927498815458
-124.46084594726562,167.93795776367188,-162.4479522705078,5.966373920440674,2.96411939813063
-105.30789947509766,147.327392578125,-168.50799560546875,5.610434532165527,2.8889994181464327
-99.67874145507812,112.32738494873047,-165.56069946289062,5.502779483795166,2.9137467602146856
-77.97106170654297,83.69746398925781,-160.3260955810547,4.609526634216309,2.7556991161886795
-97.96636199951172,52.60966491699219,-169.9027557373047,4.493285179138184,2.7505889766285505
-78.80821990966797,73.69364929199219,-176.80233764648438,4.536257266998291,2.743919143945444
-87.10762786865234,102.39706420898438,176.29518127441406,5.108735084533691,2.8519788768238503
-81.8390121459961,104.18952941894531,-178.6962432861328,5.0581865310668945,2.8487491472752673
